Ticker,Company,longName,country,currency,Currency Pair,Exchange Rate,previousClose,previousCloseUSD,sharesOutstanding,impliedSharesOutstanding,marketCapHomeCurrency,marketCapUSD,marketCap USD TIKR,enterpriseValue,ebitda,forwardEps,trailingEps,grossMargins,operatingMargins,ebitdaMargins,industry,sector,website,shortName
VITL,"Vital Farms, Inc.","Vital Farms, Inc.",United States,USD,, $1.00 ,22.96, $22.96 ,41795800,41795800,962975296," $962,975,296 ",,865379264,41179000,0.94,0.59,0.34402,0.066929996,0.08727,Farm Products,Consumer Defensive,https://vitalfarms.com,"Vital Farms, Inc."
FREY.PA,FREY,Frey SA,France,EUR,EUR/USD, $1.08 ,27.6, $29.85 ,31724000,31797800,877619264," $949,320,758 ",,,92600000,2.15,0.6,0.60136,0.97589,0.78876,REIT - Retail,Real Estate,https://www.frey.fr,FREY
1112.HK,H&H INTL HLDG,Health and Happiness (H&H) International Holdings Limited,Hong Kong,HKD,HKD/USD, $0.13 ,11.24, $1.44 ,645561024,645561024,7010792448," $895,979,275 ",,15227624448,2015838976,1.58,1.26,0.5996,0.15885,0.14606,Packaged Foods,Consumer Defensive,https://www.hh.global,H&H INTL HLDG
CONCHATORO.SN,VINA CONCHA Y TORO,Viña Concha y Toro S.A.,Chile,CLP,CLP/USD, $0.00 ,1181, $1.20 ,739009984,739009984,8.68337E+11," $885,703,465 ",,1.36093E+12,1.01829E+11,81.06,58.34,0.3696,0.12646,0.12163,Beverages - Wineries & Distilleries,Consumer Defensive,https://www.vinacyt.com,VINA CONCHA Y TORO
2897.TW,O-BANK CO LTD,"O-Bank Co., Ltd.",Taiwan,TWD,TWD/USD, $0.03 ,9.97, $0.31 ,2716470016,2716470016,26920216576," $840,987,566 ",,1.07983E+11,,,0.78,,0.27909002,,Banks - Regional,Financial Services,https://www.o-bank.com,O-BANK CO LTD
HAIN,"The Hain Celestial Group, Inc.","The Hain Celestial Group, Inc.",United States,USD,, $1.00 ,8.1, $8.10 ,89832400,89832400,734829056," $734,829,056 ",,1573392640,130051000,0.46,-1.77,0.21929,0.06577,0.07297,Packaged Foods,Consumer Defensive,https://www.hain.com,"The Hain Celestial Group, Inc."
AMAL,Amalgamated Financial Corp.,Amalgamated Financial Corp.,United States,USD,, $1.00 ,23.29, $23.29 ,30509400,31415200,725208448," $725,208,448 ",,906100160,,3.28,2.86,,0.49937,,Banks - Regional,Financial Services,https://www.amalgamatedbank.com,Amalgamated Financial Corp.
6088.T,SIGMAXYZ HOLDINGS INC,SIGMAXYZ Holdings Inc.,Japan,JPY,JPY/USD, $0.01 ,1767, $11.68 ,42212400,42703200,73069666304," $482,917,425 ",,68876492800,4528500224,84.07,77.04,0.46084,0.22373,0.21213,Specialty Business Services,Industrials,https://www.sigmaxyz.com,SIGMAXYZ HOLDINGS INC
OPY,"Oppenheimer Holdings, Inc.",Oppenheimer Holdings Inc.,United States,USD,, $1.00 ,39.65, $39.65 ,10357400,10457000,414620064," $414,620,064 "," $414,620,000 ",362406688,,2.56,2.59,0.9015,0.22818,,Capital Markets,Financial Services,https://www.oppenheimer.com,"Oppenheimer Holdings, Inc."
IBAB.BR,ION BEAM APPLICATIONS,Ion Beam Applications SA,Belgium,EUR,EUR/USD, $1.08 ,12.42, $13.43 ,29171400,29529700,365225952," $395,064,912 ",,,10006000,0.89,-0.31,1,0.10479999,0.023340002,Medical Devices,Healthcare,https://www.iba-worldwide.com,ION BEAM APPLICATIONS
KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,New Zealand,NZD,NZD/USD, $0.60 ,0.53, $0.32 ,711667008,711667008,412766848," $247,288,619 "," $247,740,000 ",803767808,71788000,0.05,0.01,0.59187,-0.00182,0.07013,Apparel Manufacturing,Consumer Cyclical,https://www.kathmanduholdings.com,KMD Brands Limited Ordinary Sha
