Ticker,shortName,longName,country,currency,previousClose,sharesOutstanding,impliedSharesOutstanding,marketCap,enterpriseValue,ebitda,forwardEps,trailingEps,grossMargins,operatingMargins,ebitdaMargins,industry,sector,website
NESN.SW,NESTLE N,Nestlé S.A.,Switzerland,CHF,94.36,2621309952,2621309952,248106991616,297381462016,18155999232,5.18,4.23,0.46087003,0.16742,0.19449,Packaged Foods,Consumer Defensive,https://www.nestle.com
NTCO3.SA,GRUPO NATURAON  ED  NM,Natura &Co Holding S.A.,Brazil,BRL,17.82,1380850048,1380850048,24689598464,24137684992,1594105984,1.03,-1.44,0.63813,0.23122999,0.05962,Household & Personal Products,Consumer Defensive,https://www.naturaeco.com
OPY,"Oppenheimer Holdings, Inc.",Oppenheimer Holdings Inc.,United States,USD,39.65,10357400,10457000,414620064,362406688,,2.56,2.59,0.9015,0.22818,,Capital Markets,Financial Services,https://www.oppenheimer.com
PG,Procter & Gamble Company (The),The Procter & Gamble Company,United States,USD,161.66,2353019904,2353019904,378953859072,407314399232,23719000064,6.41,5.97,0.50553,0.27419,0.28259,Household & Personal Products,Consumer Defensive,https://www.pginvestor.com
RETI.MI,RETI,Reti S.p.A.,Italy,EUR,2.14,12340000,12456400,26160798,,3020662,,0.09,0.132,0.0626,0.09781,Information Technology Services,Technology,https://www.reti.it
SML.NZ,Synlait Milk Limited (NS) Ordin,Synlait Milk Limited,New Zealand,NZD,0.73,218582000,218582000,159564864,634229632,54548000,0.12,-0.06,0.08927,-0.0026800002,0.041300002,Packaged Foods,Consumer Defensive,https://www.synlait.com
SOMA3.SA,GRUPO SOMA  ON      NM,Grupo de Moda Soma S.A.,Brazil,BRL,7.18,784747008,809886016,5705110528,6787620352,641272000,0.49,0.12,0.56568,0.090679996,0.12286,Apparel Retail,Consumer Cyclical,https://www.somagrupo.com.br
TENG.L,TEN LIFESTYLE GROUP PLC ORD 0.1,Ten Lifestyle Group Plc,United Kingdom,GBp,68.75,86252896,86252896,58444964,56708904,2306000,4.38,0.05,0.91471,0.036679998,0.0346,Travel Services,Consumer Cyclical,https://www.tenlifestylegroup.com
TIME.MI,COMPAGNIA DEI CARAIBI,Compagnia dei Caraibi S.p.A.,Italy,EUR,0.77,,,,14463896,486510,,,0.27405,-0.02723,0.0095,,,https://www.compagniadeicaraibi.com
TPX.L,TPXIMPACT HOLDINGS PLC ORD 1P,TPXimpact Holdings plc,United Kingdom,GBp,36.5,91070896,92318400,32102490,47800136,-17316000,4.35,-0.27,0.24629,-0.21594,-0.18981001,Information Technology Services,Technology,https://www.tpximpact.com
UL,Unilever PLC,Unilever PLC,United Kingdom,USD,49.99,2505319936,2530769920,125591691264,151356899328,11057999872,2.44,2.8,0.42237,0.16428,0.18552,Household & Personal Products,Consumer Defensive,https://www.unilever.com
VHT.XA,VOLPARA FPO NZ,Volpara Health Technologies Limited,New Zealand,AUD,1.13,,,,275582976,-7897000,,-0.059,0.92274004,-0.24278,-0.20802,,,https://www.volparahealth.com
VITL,"Vital Farms, Inc.","Vital Farms, Inc.",United States,USD,22.96,41795800,41795800,962975296,865379264,41179000,0.94,0.59,0.34402,0.066929996,0.08727,Farm Products,Consumer Defensive,https://vitalfarms.com
VNT.MI,VANTEA SMART,Vantea SMART S.p.A.,Italy,EUR,1.85,12739700,13136700,24205430,29348638,2885220,,0.05,0.087749995,0.08564,0.09967,Information Technology Services,Technology,https://www.vantea.com
VVPR,VivoPower International PLC,VivoPower International PLC,United Kingdom,USD,1.48,3270600,3270600,4742370,38970664,-5913000,-0.41,-8.2,0.10544,-0.49761,-0.39263,Solar,Technology,https://vivopower.com
WRBY,Warby Parker Inc.,Warby Parker Inc.,United States,USD,12.75,98374096,118163000,1520757760,1464138624,-33442000,0.28,-0.54,0.5453,-0.13326,-0.04993,Medical Instruments & Supplies,Healthcare,https://www.warbyparker.com
XHS.MI,XENIA HOTELLERIE SOLUTION,Xenia Hôtellerie Solution S.p.A. Società Benefit,Italy,EUR,2.66,3219000,3315810,8562540,20608540,2879812,,,0.098079994,0.04408,0.0596,Lodging,Consumer Cyclical,https://www.xeniahs.com
XSG.L,XEROS TECHNOLOGY GROUP PLC ORD ,Xeros Technology Group plc,United Kingdom,GBp,2.44,193831008,202570000,4456540,875032,-5895000,-1.8,0.01,-2.173,-23.9469,,Specialty Industrial Machinery,Industrials,https://www.xerostech.com
ZVIA,Zevia PBC,Zevia PBC,United States,USD,1.07,64530000,64529600,69047104,268538,-27728000,-0.28,-1.321,0.44919997,-0.23535,-0.16660999,Beverages - Non-Alcoholic,Consumer Defensive,https://www.zevia.com
