Ticker,shortName,longName,country,currency,previousClose,impliedSharesOutstanding,marketCap,industry,sector,website,USDExchangeRate,previousCloseUSD,marketCapUSD
VVPR,VivoPower International PLC,VivoPower International PLC,United Kingdom,USD,3.33,3303970,11577924,Solar,Technology,https://vivopower.com,1,3.33," $11,577,924 "
HAN.MC,"HANNUN, S.A.",Hannun S.A.,Spain,EUR,0.27,31271400,9531054,"Furnishings, Fixtures & Appliances",Consumer Cyclical,https://www.hannun.com,0.93858,0.287668606," $10,154,759 "
XHS.MI,XENIA HOTELLERIE SOLUTION,Xenia Hôtellerie Solution S.p.A. Società Benefit,Italy,EUR,2.84,3315810,9141960,Lodging,Consumer Cyclical,https://www.xeniahs.com,0.93858,3.025847557," $9,740,203 "
FLOW.TO,FLOW BEVERAGE CORP,Flow Beverage Corp.,Canada,CAD,0.185,71792800,13281668,Beverages - Non-Alcoholic,Consumer Defensive,https://flowhydration.com,1.370035,0.135033047," $9,694,401 "
1H2.SI,$ Olive Tree,Olive Tree Estates Limited,Singapore,SGD,0.078,124756000,9035910,Real Estate - Diversified,Real Estate,https://www.olivetreeestates.com,1.36203,0.057267461," $6,634,149 "
MPR.AX,MPOWER FPO [MPR],MPower Group Limited,Australia,AUD,0.019,343703008,6530357,Solar,Technology,https://www.mpower.com.au,1.550405,0.012254862," $4,212,033 "
GFI.NZ,Greenfern Industries Limited Or,Greenfern Industries Limited,New Zealand,NZD,0.035,115015000,4025525,Drug Manufacturers - Specialty & Generic,Healthcare,https://gfi.nz,1.688932,0.020723155," $2,383,474 "
HMGS.TA,HOMEBIOGAS LTD,HomeBiogas Ltd,Israel,ILA,351.6,24829200,83674400,Utilities - Renewable,Utilities,https://www.homebiogas.com,,,
KCT.L,KIN AND CARTA PLC ORD 10P,Kin and Carta plc,United Kingdom,GBp,129.4,173271008,224212672,Information Technology Services,Technology,https://www.kinandcarta.com,,,
TENG.L,TEN LIFESTYLE GROUP PLC ORD 0.1,Ten Lifestyle Group Plc,United Kingdom,GBp,70,86440096,57050464,Travel Services,Consumer Cyclical,https://www.tenlifestylegroup.com,,,
TIME.MI,COMPAGNIA DEI CARAIBI,Compagnia dei Caraibi S.p.A.,Italy,EUR,0.67,,,,,https://www.compagniadeicaraibi.com,0.93858,0.713844318,
TPX.L,TPXIMPACT HOLDINGS PLC ORD 1P,TPXimpact Holdings plc,United Kingdom,GBp,33,91270096,30119132,Information Technology Services,Technology,https://www.tpximpact.com,,,
XSG.L,XEROS TECHNOLOGY GROUP PLC ORD ,Xeros Technology Group plc,United Kingdom,GBp,1.45,224995008,3262427,Specialty Industrial Machinery,Industrials,https://www.xerostech.com,,,
