Ticker,shortName,longName,country,currency,previousClose,impliedSharesOutstanding,marketCap,industry,sector,website,USDExchangeRate,previousCloseUSD,marketCapUSD
0973.HK,L'OCCITANE,L'Occitane International S.A.,Luxembourg,HKD,30.6,1472169984,43429015552,Household & Personal Products,Consumer Defensive,https://group.loccitane.com,7.83538,3.905362598878421,5542681471.989872
1112.HK,H&H INTL HLDG,Health and Happiness (H&H) International Holdings Limited,Hong Kong,HKD,10.08,645561024,6558899712,Packaged Foods,Consumer Defensive,https://www.hh.global,7.83538,1.2864723855128917,837087634.8052042
1346.HK,LEVER STYLE,Lever Style Corporation,Hong Kong,HKD,0.95,645899008,619927040,Apparel Manufacturing,Consumer Cyclical,https://www.leverstyle.com,7.83538,0.12124491728544116,79118950.19769304
1H2.SI,$ Olive Tree,Olive Tree Estates Limited,Singapore,SGD,0.078,124756000,9035910,Real Estate - Diversified,Real Estate,https://www.olivetreeestates.com,1.36203,0.05726746106913944,6634149.027554459
2897.TW,O-BANK CO LTD,"O-Bank Co., Ltd.",Taiwan,TWD,9.76,2716470016,26648571904,Banks - Regional,Financial Services,https://www.o-bank.com,32.609498,0.2992993023075669,817202764.1762531
6088.T,SIGMAXYZ HOLDINGS INC,SIGMAXYZ Holdings Inc.,Japan,JPY,1532.0,43201300,66099957760,Specialty Business Services,Industrials,https://www.sigmaxyz.com,154.837499,9.89424402934847,426898898.43803275
ABB.AX,AUSSIEBAND FPO [ABB],Aussie Broadband Limited,Australia,AUD,3.5,295184992,1062665920,Telecom Services,Communication Services,https://www.aussiebroadband.com.au,1.550405,2.257474659846943,685411824.6522683
AEF.AX,A ETHICAL FPO [AEF],Australian Ethical Investment Limited,Australia,AUD,4.55,112782000,541353600,Asset Management,Financial Services,https://www.australianethical.com.au,1.550405,2.934717057801026,349169152.5762623
ALQP.PA,QUADPACK,"Quadpack Industries, S.A.",Spain,EUR,16.6,4382130,63218260,Packaging & Containers,Consumer Cyclical,https://www.quadpack.com,0.93858,17.686292058215603,67355217.45615718
AMAL,Amalgamated Financial Corp.,Amalgamated Financial Corp.,United States,USD,22.46,30811400,693879552,Banks - Regional,Financial Services,https://www.amalgamatedbank.com,1.0,22.46,693879552.0
ARZZ3.SA,AREZZO CO   ON      NM,Arezzo Indústria e Comércio S.A.,Brazil,BRL,51.49,110958000,5880774144,Footwear & Accessories,Consumer Cyclical,https://ri.arezzoco.com.br,5.166796,9.965556991218543,1138185859.0894628
BFT.WA,BENEFIT,Benefit Systems S.A.,Poland,PLN,2760.0,2967000,8052567552,Leisure,Consumer Cyclical,https://www.benefitsystems.pl,4.052443,681.0706529370061,1987089652.3405757
BIO.AX,BIOME AUST FPO [BIO],Biome Australia Limited,Australia,AUD,0.35,218503008,74489800,Packaged Foods,Consumer Defensive,https://www.biomeaustralia.com,1.550405,0.2257474659846943,48045381.69059052
BIRD,"Allbirds, Inc.","Allbirds, Inc.",United States,USD,0.5976,155188992,101152184,Apparel Retail,Consumer Cyclical,https://www.allbirds.com,1.0,0.5976,101152184.0
CLSA3.SA,CLEARSALE   ON      NM,ClearSale S.A.,Brazil,BRL,7.76,187926000,1495890944,Software - Infrastructure,Technology,https://www.clearsale.com.br,5.166796,1.5018978879754494,289520032.1437115
COCO,"The Vita Coco Company, Inc.","The Vita Coco Company, Inc.",United States,USD,23.38,56929300,1313928192,Beverages - Non-Alcoholic,Consumer Defensive,https://thevitacococompany.com,1.0,23.38,1313928192.0
CONCHATORO.SN,VINA CONCHA Y TORO,Viña Concha y Toro S.A.,Chile,CLP,1180.0,740371008,886811983872,Beverages - Wineries & Distilleries,Consumer Defensive,https://www.vinacyt.com,952.504567,1.238839204431867,931031739.4751137
COUR,"Coursera, Inc.","Coursera, Inc.",United States,USD,11.95,157324000,1924072448,Education & Training Services,Consumer Defensive,https://www.coursera.org,1.0,11.95,1924072448.0
CVT.NZ,Comvita Limited Ordinary Shares,Comvita Limited,New Zealand,NZD,2.05,70225400,142557552,Packaged Foods,Consumer Defensive,https://www.comvita.co.nz,1.688932,1.2137848060194252,84406922.24435323
CWEB.TO,CHARLOTTES WEB HOLDINGS INC,"Charlotte's Web Holdings, Inc.",United States,CAD,0.305,156960992,46303492,Drug Manufacturers - Specialty & Generic,Healthcare,https://www.charlottesweb.com,1.370035,0.2226220498016474,33797305.908243224
DOX.MI,DOXEE,Doxee S.p.A.,Italy,EUR,2.14,8597810,17883444,Software - Infrastructure,Technology,https://www.doxee.com,0.93858,2.2800400605169515,19053723.710285753
FLOW.TO,FLOW BEVERAGE CORP,Flow Beverage Corp.,Canada,CAD,0.185,71792800,13281668,Beverages - Non-Alcoholic,Consumer Defensive,https://flowhydration.com,1.370035,0.13503304660099924,9694400.50801622
FREY.PA,FREY,Frey SA,France,EUR,27.8,31663700,888817984,REIT - Retail,Real Estate,https://www.frey.fr,0.93858,29.619212001108057,946981593.4709882
GFI.NZ,Greenfern Industries Limited Or,Greenfern Industries Limited,New Zealand,NZD,0.035,115015000,4025525,Drug Manufacturers - Specialty & Generic,Healthcare,https://gfi.nz,1.688932,0.020723155224721897,2383473.698171389
GROV,"Grove Collaborative Holdings, I","Grove Collaborative Holdings, Inc.",United States,USD,1.63,38182100,62618644,Household & Personal Products,Consumer Defensive,https://www.grove.co,1.0,1.63,62618644.0
HAN.MC,"HANNUN, S.A.",Hannun S.A.,Spain,EUR,0.27,31271400,9531054,"Furnishings, Fixtures & Appliances",Consumer Cyclical,https://www.hannun.com,0.93858,0.28766860576615744,10154759.317266509
HLZ.MC,HOLALUZ CLIDOM S.A.,"Holaluz-Clidom, S.A.",Spain,EUR,3.0,23130800,64373428,Utilities - Renewable,Utilities,https://www.holaluz.com,0.93858,3.1963178418461933,68585978.8190671
HMGS.TA,HOMEBIOGAS LTD,HomeBiogas Ltd,Israel,ILA,351.6,24829200,83674400,Utilities - Renewable,Utilities,https://www.homebiogas.com,,,
IBAB.BR,ION BEAM APPLICATIONS,Ion Beam Applications SA,Belgium,EUR,13.26,29171400,384479072,Medical Devices,Healthcare,https://www.iba-worldwide.com,0.93858,14.127724860960175,409639105.88335574
