,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLE,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
2024-05-19,3.673002,71.479051,92.148135,386.03093,1.792758,848.999826,883.435903,1.492445,1.8025,1.706879,1.795053,2.008536,116.488459,1.795053,0.375109,2853.838741,1.0,1.340645,6.87348,5.103502,0.994814,1.5087763e-05,82.888165,13.478959,3.254922,19600.0,2.00514,1.360855,2804.999893,0.9089,0.032418,894.496424,7.234385,7.223704,3807.17,509.113854,1.0,26.5,101.202331,22.710599,177.13735,6.862299,58.271764,134.373824,46.914603,15.0,57.138452,0.91965,2.228195,0.796099,0.78703,2.750404,0.796099,14.225139,0.796099,67.908373,8550.318939,7.728879,208.122619,7.80269,24.630352,6.979956,132.302327,355.965014,15965.0,3.704798,0.796099,83.30065,1303.106787,42062.502645,138.23983,0.796099,155.238401,0.708903,155.76103,129.820529,88.209297,4056.720664,452.724982,899.999697,1354.390009,0.30724,0.829058,442.311046,21232.618971,89080.446056,298.141343,193.506174,18.21023,2.95274,0.60489,4.808315,9.904364,17.601808,4408.241935,56.546281,2089.02758,3449.999773,7.994585,39.687145,45.77014,15.4596,1724.748749,16.6013,4.687503,63.527402,18.209793,1495.000334,36.620623,10.670465,132.620807,1.629685,0.38414,0.994723,3.714928,3.863063,57.68965,277.089441,3.91865,7453.535863,3.6415,4.574102,107.504291,90.889836,1287.871139,3.750403,8.475946,13.817986,600.999915,10.702175,1.344905,1.26345,22.847303,20969.50094,570.999923,32.183001,20697.981008,8.704511,2512.529855,18.194668,36.12991,10.773255,3.5,3.115007,2.35865,32.237598,6.755082,32.179007,2581.432989,39.251434,3750.172089,1.0,38.538846,12652.930109,3622552.534434,36.580745,25449.0,118.72199,2.803093,602.043963,0.031828,0.000413,2.70255,0.753155,602.043963,110.350137,249.901767,18.167101,9001.216915,25.391217,321.999592
2024-05-20,3.673002,71.934364,92.451909,387.948102,1.804101,848.47023,888.733604,1.498845,1.8,1.71714,1.800971,2.021142,117.222391,1.80232,0.376891,2867.337637,1.0,1.34725,6.917318,5.104603,1.001041,1.4079381e-05,83.374311,13.527077,3.275873,19600.0,2.017735,1.362351,2807.000025,0.91016,0.032167,887.589885,7.246085,7.2327,3826.67,512.343576,1.0,26.5,101.535954,22.75855,178.22776,6.86997,58.564075,134.450593,46.636901,15.0,57.501704,0.920775,2.25945,0.796099,0.786805,2.734984,0.796099,14.414763,0.796099,67.749917,8604.130793,7.777425,209.425675,7.79879,24.740787,6.979956,132.708404,355.4695,16040.4,3.692525,0.796099,83.31525,1311.362192,42074.999818,138.39855,0.796099,156.403031,0.708898,156.377014,128.129629,88.195502,4074.623155,453.449929,899.999697,1361.260622,0.30696,0.834185,443.925707,21366.151919,89640.045305,299.962246,193.474963,18.180448,2.95274,0.60489,4.838071,9.91869,17.67268,4432.903303,56.737295,2102.083851,3449.999773,8.041843,39.696651,45.93966,15.449452,1735.591223,16.55516,4.684018,63.501649,18.180125,1532.429645,36.84196,10.698075,133.397484,1.637315,0.384891,1.001041,3.741724,3.888618,58.123998,278.579979,3.916909,7493.761338,3.64125,4.5804,107.865634,90.299242,1294.326731,3.750426,8.493857,13.691655,601.000019,10.68107,1.347419,1.26345,22.847303,20969.50094,570.999915,32.566495,20697.981008,8.75899,2512.529855,18.233469,36.140505,10.860935,3.5,3.106503,2.357003,32.217103,6.795768,32.220797,2600.071825,39.684522,3799.368307,1.0,38.831644,12707.533357,3622552.534434,36.525998,25455.0,118.72199,2.803093,604.028656,0.031468,0.000412,2.70255,0.75619,604.028656,110.249736,249.924987,18.165106,9001.199858,25.850622,321.999592
2024-05-21,3.673014,70.48083,92.374979,388.239739,1.802643,850.499662,889.233698,1.49997,1.8,1.699408,1.800142,2.019476,117.177695,1.80116,0.376898,2880.0,1.0,1.347299,6.911374,5.1234,1.000258,1.4293304e-05,83.29259,13.479433,3.273261,19600.0,2.01607,1.364095,2801.999911,0.911285,0.0322,888.498067,7.24849,7.23785,3822.81,512.485388,1.0,26.5,102.050475,22.783966,177.720331,6.873599,58.6841,134.357017,46.736903,15.0,57.300677,0.921245,2.261018,0.796099,0.78673,2.730014,0.796099,14.497068,0.796099,67.774994,8600.000236,7.764713,209.366112,7.804615,24.750443,6.979956,133.128388,355.1225,16012.0,3.666585,0.796099,83.31705,1310.0,42074.999965,138.280446,0.796099,156.083463,0.708897,156.255975,132.00025,88.15026,4074.999897,453.749965,899.999697,1364.420392,0.3069,0.833525,441.512421,21350.000026,89545.871285,300.017488,193.550466,18.090267,2.95274,0.60489,4.834968,9.892504,17.633299,4442.497594,56.686669,2100.38013,3449.999773,8.03943,39.703502,46.135496,15.459899,1733.5318,16.621602,4.692497,63.518268,18.0898,1420.49594,36.749918,10.669855,133.268291,1.64116,0.384884,1.000258,3.733969,3.883995,58.168984,278.549769,3.917351,7509.641315,3.641499,4.582396,107.895791,90.329777,1296.0,3.750512,8.511255,13.590919,600.999933,10.693765,1.347295,1.26345,22.847303,20969.50094,571.000312,32.356501,20697.981008,8.751737,2512.529855,18.090227,36.393496,10.807017,3.51,3.112502,2.35975,32.195898,6.788959,32.249803,2595.000056,39.821534,3805.903522,1.0,38.519241,12729.999967,3622552.534434,36.524615,25462.0,118.72199,2.803093,603.750679,0.031223,0.000413,2.70255,0.755566,602.51793,110.52502,249.903496,18.0829,9001.196433,25.829567,321.999592
2024-05-22,3.673041,70.999976,92.64975,388.369848,1.803234,850.494512,889.99603,1.51083,1.8025,1.704017,1.805659,2.020191,117.212059,1.806925,0.376809,2879.0,1.0,1.349398,6.914157,5.1526,1.000586,1.4470485e-05,83.303836,13.52075,3.274431,19600.0,2.016821,1.36915,2799.999766,0.915202,0.032569,898.689682,7.25292,7.241301,3829.65,513.03818,1.0,26.5,102.149715,22.832988,177.720051,6.8934,58.750377,134.619033,46.790699,15.0,57.124981,0.923795,2.266102,0.796099,0.78615,2.719897,0.796099,14.550246,0.796099,67.749734,8601.000423,7.774439,209.330988,7.80395,24.75989,6.979956,133.324101,357.585007,16047.8,3.67392,0.796099,83.26735,1310.0,42062.499027,138.659851,0.796099,156.100263,0.708901,156.708998,132.000025,88.020998,4076.999922,454.84999,899.999697,1366.810226,0.307027,0.833856,443.007298,21374.999804,89795.748652,300.106172,193.574979,18.290253,2.95274,0.60489,4.835025,9.91625,17.679798,4444.000185,56.861115,2101.166956,3449.999773,8.044887,39.729979,46.160259,15.449778,1732.529093,16.664575,4.6925,63.501095,18.290309,1432.513306,36.749681,10.706745,133.288095,1.63947,0.384883,1.000609,3.734013,3.8415,58.101804,278.550279,3.942171,7528.043207,3.64125,4.596098,108.213986,90.160081,1296.0,3.750289,8.500231,13.811007,601.000263,10.738497,1.350403,1.26345,22.847303,20969.50094,571.000037,32.509642,20697.981008,8.754899,2512.529855,18.289903,36.50406,10.790969,3.5,3.121498,2.36205,32.20059,6.790443,32.238897,2594.999816,39.809905,3813.823379,1.0,38.443429,12739.999622,3622552.534434,36.500742,25465.0,118.72199,2.803093,605.601256,0.032342,0.00042,2.70255,0.755851,603.486468,110.625005,250.40795,18.291901,9001.200159,26.089887,321.999592
