,0973.HK,1112.HK,1346.HK,1H2.SI,2897.TW,6088.T,ABB.AX,AEF.AX,ALQP.PA,AMAL,ARZZ3.SA,BFT.WA,BIO.AX,BIRD,CLSA3.SA,COCO,CONCHATORO.SN,COUR,CVT.NZ,CWEB.TO,DOX.MI,FLOW.TO,FREY.PA,GFI.NZ,GROV,HAN.MC,HLZ.MC,HMGS.TA,IBAB.BR,INCLU.BR,KCT.L,KMD.NZ,KPG.AX,LFG.AX,LMND,MLMFI.PA,MME.AX,MOVI3.SA,MPR.AX,NTCO3.SA,RETI.MI,SML.NZ,SOMA3.SA,TENG.L,TIME.MI,TPX.L,VHT.AX,VITL,VNT.MI,VVPR,WRBY,XHS.MI,XSG.L,ZVIA
2022-01-03,31.100807189941406,10.558157920837402,0.3054283559322357,0.10999999940395355,7.403813362121582,1236.89501953125,4.739999771118164,13.06087875366211,23.799999237060547,,,629.166259765625,0.11500000208616257,,,,,,,,12.399999618530273,,29.694746017456055,,,,12.649999618530273,1163.0,14.637018203735352,17.18344497680664,,,4.536647319793701,4.465663909912109,,15.0,2.119999885559082,,0.04100000113248825,,2.2708606719970703,,,,4.0246806144714355,,1.0449999570846558,,7.298765182495117,,,,,
2022-01-04,31.003921508789062,10.629016876220703,0.3054283559322357,0.10999999940395355,7.403813362121582,1166.818603515625,4.599999904632568,13.177148818969727,23.799999237060547,16.284921646118164,66.43682098388672,629.166259765625,0.11999999731779099,15.59000015258789,8.970000267028809,12.0,1203.634521484375,25.0,3.537917137145996,1.3600000143051147,12.5,1.6200000047683716,29.16448211669922,0.19992700219154358,49.45000076293945,,12.800000190734863,1216.0,14.578547477722168,17.51602554321289,296.0,1.3379648923873901,4.59493350982666,4.481902599334717,39.029998779296875,15.0,2.119999885559082,13.564057350158691,0.039000000804662704,22.226015090942383,2.2140891551971436,3.490000009536743,11.305203437805176,95.0,3.99515962600708,239.02407836914062,1.0099999904632568,18.18000030517578,7.407407283782959,31.5,44.08000183105469,,86.03070068359375,7.349999904632568
2022-01-05,30.907033920288086,11.107322692871094,0.2978869080543518,0.10999999940395355,7.431647300720215,1099.6221923828125,4.210000038146973,12.382643699645996,23.799999237060547,16.313676834106445,63.24292755126953,,0.11500000208616257,13.569999694824219,8.600000381469727,11.489999771118164,1234.5584716796875,24.010000228881836,3.499566078186035,1.2799999713897705,12.600000381469727,1.7000000476837158,29.16448211669922,0.19992700219154358,49.70000076293945,,12.600000381469727,1271.0,14.598037719726562,17.275827407836914,294.0,1.3291043043136597,4.517219066619873,4.465663909912109,36.790000915527344,15.0,2.0999999046325684,12.642314910888672,0.039000000804662704,21.19864845275879,2.2424747943878174,3.4800000190734863,10.22665023803711,97.5,3.955798387527466,239.02407836914062,1.0199999809265137,17.56999969482422,7.41728401184082,31.200000762939453,41.65999984741211,,92.91699981689453,7.329999923706055
2022-01-06,31.43991470336914,10.87702751159668,0.2978869080543518,0.10999999940395355,7.440925121307373,1095.3023681640625,4.460000038146973,12.266374588012695,23.799999237060547,16.773757934570312,64.39916229248047,630.1432495117188,0.11500000208616257,15.229999542236328,8.890000343322754,10.960000038146973,1249.9281005859375,23.40999984741211,3.528329372406006,1.2699999809265137,12.600000381469727,1.6399999856948853,29.16448211669922,0.19992700219154358,49.599998474121094,,12.5,,14.364157676696777,17.349735260009766,276.0,1.3291043043136597,4.468647003173828,4.465663909912109,35.33000183105469,15.0,2.069999933242798,12.597132682800293,0.039000000804662704,20.96015167236328,2.1951651573181152,3.4600000381469727,10.540410995483398,99.0,4.0246806144714355,239.02407836914062,1.0149999856948853,18.290000915527344,7.26913595199585,29.600000381469727,42.38999938964844,,107.06680297851562,6.920000076293945
2022-01-07,,,,,,,,,,16.754589080810547,63.88740158081055,,,13.9399995803833,9.0,10.90999984741211,1240.669189453125,23.219999313354492,,1.309999942779541,,1.6100000143051147,,,49.70000076293945,,,,,,274.0,,,,37.13999938964844,,,12.353142738342285,,20.281352996826172,,,10.295286178588867,100.5,,239.02407836914062,,18.510000228881836,,31.0,39.709999084472656,,111.78340148925781,6.929999828338623
2022-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-09,32.505672454833984,11.071893692016602,0.2978869080543518,0.10999999940395355,7.478037357330322,,4.429999828338623,11.985391616821289,23.799999237060547,,,626.2353515625,0.11999999731779099,,,,,,3.537917137145996,,12.5,,28.98772621154785,0.19558100402355194,,,12.800000190734863,1210.0,14.325177192687988,17.220396041870117,,1.2936614751815796,4.546360015869141,4.506261348724365,,15.0,2.0299999713897705,,0.039000000804662704,,2.223551034927368,3.430000066757202,,,3.8672358989715576,,1.0149999856948853,,7.190123558044434,,,,,
2022-01-10,32.166568756103516,11.26675796508789,0.2978869080543518,0.10999999940395355,7.700708389282227,1060.744140625,4.480000019073486,11.665653228759766,24.0,16.39035987854004,61.39482498168945,636.9819946289062,0.11500000208616257,14.210000038146973,8.960000038146973,10.479999542236328,1254.6500244140625,23.209999084472656,3.4803900718688965,1.309999942779541,12.600000381469727,1.559999942779541,29.16448211669922,0.1912350058555603,49.54999923706055,,12.550000190734863,1181.0,14.442117691040039,17.201921463012695,268.0,1.2582186460494995,4.517219066619873,4.473783493041992,35.900001525878906,15.0,2.0799999237060547,12.109150886535645,0.03999999910593033,19.841053009033203,2.223551034927368,3.4600000381469727,10.059965133666992,100.5,3.9361178874969482,239.02407836914062,1.0,18.950000762939453,6.982716083526611,28.700000762939453,37.33000183105469,,111.78340148925781,6.659999847412109
2022-01-11,32.554115295410156,11.86906909942627,0.30165761709213257,0.10999999940395355,7.709986686706543,1134.6602783203125,4.53000020980835,10.764567375183105,23.799999237060547,16.45745086669922,63.11023712158203,632.09716796875,0.10999999940395355,14.220000267028809,9.25,10.880000114440918,1232.33642578125,24.170000076293945,3.537917137145996,1.309999942779541,12.800000190734863,1.5700000524520874,29.16448211669922,0.1912350058555603,49.375,,12.600000381469727,1132.0,14.208237648010254,17.05410385131836,269.0,1.2848007678985596,4.507503509521484,4.449425220489502,38.9900016784668,15.0,2.0399999618530273,12.280848503112793,0.03999999910593033,21.097745895385742,2.223551034927368,3.5399999618530273,10.344310760498047,101.0,3.99515962600708,239.02407836914062,0.9850000143051147,19.149999618530273,6.913580417633057,28.899999618530273,38.7599983215332,,110.36840057373047,7.130000114440918
2022-01-12,31.633689880371094,11.567914009094238,0.30165761709213257,0.10999999940395355,8.480056762695312,1083.782958984375,4.610000133514404,10.6386079788208,23.799999237060547,16.121978759765625,65.07208251953125,614.5117797851562,0.10999999940395355,13.84000015258789,9.4399995803833,10.489999771118164,1234.188232421875,23.34000015258789,3.5187416076660156,1.3600000143051147,13.0,1.5800000429153442,29.16448211669922,0.19558100402355194,49.5,,12.649999618530273,1132.0,14.286197662353516,17.423643112182617,277.0,1.2582186460494995,4.624077796936035,4.481902599334717,37.970001220703125,15.0,2.059999942779541,12.570021629333496,0.039000000804662704,21.088573455810547,2.1100080013275146,3.5299999713897705,10.87378215789795,116.0,4.034520626068115,239.02407836914062,0.9850000143051147,18.540000915527344,6.864197254180908,28.700000762939453,37.099998474121094,,111.78340148925781,7.460000038146973
