,Price Weighted Index,Mkt Cap Weighted Index,SPX,RU2000
2022-01-04,1.0,1.0,1.0,1.0
2022-01-05,0.9796361241244895,0.9615812257458826,0.9806072422093128,0.9670011444814174
2022-01-06,0.9810766547652293,0.9671254187188325,0.9796621633322027,0.972453249074709
2022-01-07,0.9772860882573633,0.9547835603658382,0.97569431923864,0.9607469559764182
2022-01-09,0.9784130967130713,0.9592320054876766,0.97569431923864,0.9607469559764182
2022-01-10,0.973008607325966,0.9443382026634468,0.9742883132307987,0.9569300093013327
2022-01-11,0.9850740543043388,0.9720132178782642,0.9832127792428978,0.9670011444814174
2022-01-12,0.9745005731503379,0.9628842268388337,0.9859832314200528,0.9590941509209008
2022-01-13,0.9634568619454733,0.9406216805939079,0.9719392655928338,0.9517688672646895
2022-01-14,0.960538152304348,0.9364359908687848,0.972736236614014,0.9530999348777591
2022-01-16,0.9593260492490437,0.9321850929165099,0.972736236614014,0.9530999348777591
2022-01-17,0.9569833311743888,0.9268211157111926,0.972736236614014,0.9530999348777591
2022-01-18,0.9346607891649857,0.89749256215972,0.9548496155205625,0.9239092024656064
2022-01-19,0.9194600706960088,0.9040555317489669,0.9455975601930088,0.9091662028912898
2022-01-20,0.9278291765692848,0.9168379717152382,0.9351606420180154,0.8920916291019372
2022-01-21,0.919931960449578,0.9119800734925215,0.9174722450563655,0.8761718129592829
2022-01-23,0.913225627119734,0.9073479666893034,0.9174722450563655,0.8761718129592829
2022-01-24,0.9226760695286845,0.9124642162427479,0.9200152386074602,0.8962654998895978
2022-01-25,0.9204534784784485,0.9134988908406576,0.9088168993712037,0.8832722570215161
2022-01-26,0.9117118917904664,0.915878987789578,0.9074567314205622,0.871120804124093
2022-01-27,0.9026177175353832,0.9025393857103612,0.9025709038348119,0.8512122507288052
2022-01-28,0.908385979489622,0.9042790750664226,0.9245463814928335,0.8676168789272951
2022-01-30,0.9091940228177793,0.9081861638350186,0.9245463814928335,0.8676168789272951
2022-01-31,0.9530290962416796,0.9471797759747171,0.942007319828423,0.8940352891096073
2022-02-01,0.9668851349840832,0.9631084837367107,0.9484723194158805,0.9038595795763223
2022-02-02,0.9553735633166527,0.9386404715274814,0.9574093144969477,0.8945069196147071
2022-02-03,0.9483669910415686,0.9195981975467846,0.9340570653253433,0.8775425328290556
2022-02-04,0.9489756785941312,0.9151545546004981,0.9388739321005952,0.8825361884679831
2022-02-06,0.9482997516833842,0.9152396112643717,0.9388739321005952,0.8825361884679831
2022-02-07,0.9561000631361335,0.9154127917897503,0.9353984906037076,0.887049443835403
2022-02-08,0.9671875759469141,0.9265896830875504,0.9432569671300385,0.9014927648889113
2022-02-09,0.9838822204734471,0.9537822533775536,0.9569504246132032,0.9182984888455028
2022-02-10,0.9733544251690776,0.9444315442315709,0.9396145732425943,0.9040446593091017
2022-02-11,0.9658434986079102,0.9287516737888926,0.9217905974939825,0.8947845930161239
2022-02-13,0.9597526158945542,0.9207037257239855,0.9217905974939825,0.8947845930161239
2022-02-14,0.9630343864117771,0.9111740524666372,0.9182503715429192,0.8906591980538221
2022-02-15,0.9621458184546291,0.9380111126193345,0.9327281691159468,0.9151956056045586
2022-02-16,0.9564343927644402,0.9378012173701452,0.9335500964127137,0.9164517804885502
2022-02-17,0.9348727340961674,0.9166818016705415,0.9137839112493723,0.8938766262805473
2022-02-18,0.9247949681509612,0.8975066839501665,0.9072355882601605,0.8856081892186322
2022-02-20,0.9202223940835973,0.896748089366368,0.9072355882601605,0.8856081892186322
2022-02-21,0.9172300744415122,0.8809606481050987,0.9072355882601605,0.8856081892186322
2022-02-22,0.9056049439349771,0.8805682539940505,0.8980335473461293,0.8727560158445468
2022-02-23,0.8651078733490325,0.8622629426687425,0.8814988433530233,0.8568537930369561
2022-02-24,0.8705748464005064,0.8716250893188234,0.8946832946765718,0.8797374493344231
2022-02-25,0.8702069686752255,0.8675006846898545,0.9146997556322239,0.8995358695282576
2022-02-27,0.8687055192812798,0.8692769496239496,0.9146997556322239,0.8995358695282576
2022-02-28,0.8703540353684422,0.8750971086107905,0.9124655068619572,0.9026916403788884
2022-03-01,0.8542363015329975,0.8625313630390029,0.8983464684832798,0.8852467995194814
2022-03-02,0.8697237649630994,0.8579587152871745,0.9150940647864915,0.9074429168910221
2022-03-03,0.8322574291392946,0.844554163985647,0.9102855507238848,0.8957806878337622
2022-03-04,0.8169898812930427,0.8164255925151601,0.9030633064314869,0.8818927135830876
2022-03-06,0.7891903129930913,0.7997559086123227,0.9030633064314869,0.8818927135830876
2022-03-07,0.7693090811885591,0.7651283132432602,0.8764065407851753,0.860044804359962
2022-03-08,0.7961364346255585,0.7875627636299192,0.8700668318873973,0.8651927648458695
2022-03-09,0.8198648737328716,0.8332006769726922,0.8924260250153557,0.8886758319872011
2022-03-10,0.8080335196137701,0.8029874957701443,0.8885958988180912,0.8866395783108935
2022-03-11,0.7989613206629131,0.7843809222684214,0.8770783229790255,0.8725356418371445
2022-03-13,0.795775683075303,0.7778736196330112,0.8770783229790255,0.8725356418371445
2022-03-14,0.7869803487097452,0.753138317951109,0.8705695225813549,0.855809222393959
2022-03-15,0.8075694836335274,0.7757323965358962,0.8892071747764376,0.8678196057973859
2022-03-16,0.8423405895778365,0.8214384722940384,0.9091109759737277,0.8950357957115734
2022-03-17,0.8589052184507037,0.8469633457479568,0.920336512457256,0.9101534741402724
2022-03-18,0.8690359688397201,0.8627299900193763,0.9310697482064587,0.9194620162586089
2022-03-20,0.8645346722207761,0.8646003670676383,0.9310697482064587,0.9194620162586089
