,0973.HK,NTCO3.SA,BFT.WA,COUR,WRBY,COCO,ARZZ3.SA,LMND,SOMA3.SA,VITL,FREY.PA,CONCHATORO.SN,1112.HK,2897.TW,AMAL,MOVI3.SA,6088.T,IBAB.BR,KMD.NZ,CLSA3.SA,INCLU.BR,BIRD,CVT.NZ,SML.NZ,ALQP.PA,1346.HK,HLZ.MC,ZVIA,GROV,CWEB.TO,0973.HK_currency,0973.HK_SO,NTCO3.SA_currency,NTCO3.SA_SO,BFT.WA_currency,BFT.WA_SO,COUR_currency,COUR_SO,WRBY_currency,WRBY_SO,COCO_currency,COCO_SO,ARZZ3.SA_currency,ARZZ3.SA_SO,LMND_currency,LMND_SO,SOMA3.SA_currency,SOMA3.SA_SO,VITL_currency,VITL_SO,FREY.PA_currency,FREY.PA_SO,CONCHATORO.SN_currency,CONCHATORO.SN_SO,1112.HK_currency,1112.HK_SO,2897.TW_currency,2897.TW_SO,AMAL_currency,AMAL_SO,MOVI3.SA_currency,MOVI3.SA_SO,6088.T_currency,6088.T_SO,IBAB.BR_currency,IBAB.BR_SO,KMD.NZ_currency,KMD.NZ_SO,CLSA3.SA_currency,CLSA3.SA_SO,INCLU.BR_currency,INCLU.BR_SO,BIRD_currency,BIRD_SO,CVT.NZ_currency,CVT.NZ_SO,SML.NZ_currency,SML.NZ_SO,ALQP.PA_currency,ALQP.PA_SO,1346.HK_currency,1346.HK_SO,HLZ.MC_currency,HLZ.MC_SO,ZVIA_currency,ZVIA_SO,GROV_currency,GROV_SO,CWEB.TO_currency,CWEB.TO_SO
2022-01-13,30.81014633178711,20.051979064941406,614.5117797851562,22.56999969482422,35.47999954223633,10.239999771118164,64.80670166015625,35.58000183105469,10.824756622314453,18.520000457763672,29.16448211669922,1249.927978515625,11.674203872680664,8.350164413452148,16.371187210083008,12.497729301452637,1056.9044189453125,14.149767875671387,1.2404972314834595,9.550000190734863,17.109535217285156,13.460000038146973,3.5187416076660156,3.490000009536743,23.799999237060547,0.32154715061187744,12.5,7.760000228881836,,1.2899999618530273,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-14,,20.033599853515625,,22.110000610351562,34.27000045776367,10.329999923706055,64.50341796875,35.220001220703125,10.87378215789795,18.389999389648438,,1227.985107421875,,,16.52454948425293,12.678462028503418,,,,9.6899995803833,,13.920000076293945,,,,,,7.739999771118164,,1.3799999952316284,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-16,30.035049438476562,,613.5347900390625,,,,,,,,29.16448211669922,,11.550198554992676,8.025435447692871,,,1066.50390625,14.286197662353516,1.249358057975769,,17.423643112182617,,3.5475051403045654,3.5,23.799999237060547,0.32154715061187744,12.5,,,,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-17,29.59905433654785,19.50978660583496,609.626953125,,,,64.1622314453125,,10.716901779174805,,29.341236114501953,1223.35546875,11.691919326782227,8.2852201461792,,12.832085609436035,1080.903076171875,13.954866409301758,1.2848008871078491,9.600000381469727,17.423643112182617,,3.595444440841675,3.5,23.799999237060547,0.32154715061187744,12.350000381469727,,,1.340000033378601,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-18,29.695941925048828,18.60000228881836,605.7190551757812,20.709999084472656,31.969999313354492,9.960000038146973,63.39455795288086,32.869998931884766,10.442360877990723,17.549999237060547,29.16448211669922,1241.3173828125,11.178182601928711,8.127493858337402,16.419113159179688,12.615206718444824,1017.5465087890625,13.974356651306152,1.275940179824829,8.289999961853027,17.18344497680664,13.550000190734863,3.6242077350616455,3.490000009536743,23.799999237060547,0.32154715061187744,12.550000190734863,7.480000019073486,,1.340000033378601,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-19,30.228824615478516,19.178956985473633,577.3870849609375,20.489999771118164,30.520000457763672,9.710000038146973,66.72114562988281,31.260000228881836,10.883587837219238,17.540000915527344,29.16448211669922,1249.002197265625,11.514768600463867,8.118216514587402,15.796087265014648,12.606168746948242,1064.1041259765625,14.851408004760742,1.2670793533325195,8.739999771118164,17.0910587310791,13.829999923706055,3.5762686729431152,3.4600000381469727,23.799999237060547,0.32154715061187744,12.350000381469727,7.329999923706055,,1.2799999713897705,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-20,30.277265548706055,20.41956901550293,596.9263916015625,20.0,31.68000030517578,9.819999694824219,70.57845306396484,31.600000381469727,11.883700370788574,17.350000381469727,29.341236114501953,1231.5030517578125,11.585628509521484,7.932657241821289,15.268914222717285,13.744791030883789,1062.6640625,14.383647918701172,1.2227760553359985,9.149999618530273,17.0910587310791,13.4399995803833,3.6242077350616455,3.4800000190734863,23.799999237060547,0.32154715061187744,12.300000190734863,7.489999771118164,,1.2799999713897705,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-21,,21.292591094970703,,19.350000381469727,32.0,9.600000381469727,71.50724029541016,29.209999084472656,12.177851676940918,16.530000686645508,,1223.0777587890625,,,15.192233085632324,13.853231430053711,,,,9.699999809265137,,12.369999885559082,,,,,,7.639999866485596,,1.159999966621399,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-23,29.889719009399414,,591.0645751953125,,,,,,,,29.341236114501953,,12.117079734802246,7.904823303222656,,,1074.6634521484375,13.389656066894531,1.2227760553359985,,16.75847625732422,,3.4803903102874756,3.440000057220459,23.799999237060547,0.32154715061187744,11.75,,,,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
2022-01-24,29.356836318969727,21.283403396606445,595.9494018554688,19.850000381469727,35.09000015258789,10.5600004196167,70.24674987792969,29.940000534057617,11.667989730834961,16.770000457763672,29.341236114501953,1222.15185546875,11.567914009094238,7.784210205078125,15.719408988952637,13.636351585388184,1014.1865844726562,13.643026351928711,1.1784723997116089,10.0600004196167,17.1464900970459,12.770000457763672,3.4036874771118164,3.2799999713897705,23.799999237060547,0.32154715061187744,11.800000190734863,8.020000457763672,,1.1200000047683716,HKD,1472169984,BRL,1380850048,PLN,2967000,USD,156946000,USD,118163000,USD,56929300,BRL,110958000,USD,70224400,BRL,784747008,USD,41795800,EUR,31663700,CLP,749737984,HKD,645561024,TWD,2735620096,USD,30509400,BRL,383460000,JPY,43742300,EUR,30192400,NZD,711667008,BRL,187926000,EUR,7421730,USD,155188992,NZD,70225400,NZD,218582000,EUR,4382130,HKD,645899008,EUR,23676800,USD,64529600,USD,38174900,CAD,156960992
