,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,AEF.AX_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,FREY.PA_px_USD,LFG.AX_px_USD,ABB.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,SML.NZ_px_USD,AMAL_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,Index
2022-01-04,4.071626853192206,3.9779982305008517,39.029998779296875,1.9911958210836058,11.70157669831895,1.5350026866596544,9.541018145105122,1.4041512501124827,2.3890496586115026,30.82186119680081,3.245157374835277,3.330666317646065,1.3414940405501639,18.18000030517578,0.2689312804472546,0.9115662327393552,2.377764839423711,16.20798683166504,155.52826325673303,16.449608157609454,324.3049179565072
2022-01-05,3.8619429040819804,3.964854741065147,36.790000915527344,1.7912671100650355,11.077427449846839,1.5165147778107653,8.942124554954656,1.455531293086018,2.214387319028102,30.903875872093096,3.224879210855695,3.0402512201784377,1.4016095243375497,17.56999969482422,0.2691513828804793,0.902951642614326,2.3642027229592526,16.23660659790039,155.52826325673303,16.515429543430177,319.5712717342725
2022-01-06,3.83547412195745,4.030334348955688,35.33000183105469,1.8544341760446355,11.330110530149566,1.4828270946493562,8.786914579136905,1.4752344159645616,2.2162848656626184,30.858699922131123,3.198941237601393,3.194883628977288,1.3715691053627816,18.290000915527344,0.26935451927337667,0.8959487853426248,2.332385125414216,16.694509506225586,156.2770398908687,16.227074511884673,319.9520231121846
2022-01-07,3.742930946749748,4.030334348955688,37.13999938964844,1.8267644117128394,11.335985770870671,1.4828270946493562,8.786914579136905,1.4807644558084692,2.191904080530119,30.858699922131123,3.198941237601393,3.194883628977288,1.3715691053627816,18.510000228881836,0.26935451927337667,0.8959487853426248,2.332385125414216,16.675432205200195,156.2770398908687,16.227074511884673,321.8297542390004
2022-01-09,3.742930946749748,4.168363850669609,37.13999938964844,1.8267644117128394,11.335985770870671,1.45723515209427,8.603710754716433,1.4807644558084692,2.191904080530119,30.824614470103878,3.2348189824797013,3.180074662369108,1.396612997004797,18.510000228881836,0.27042374013980397,0.8764407430631075,2.3237853084992293,16.675432205200195,156.41985884604028,16.26373282700256,321.92345382358513
2022-01-10,3.6437666993954916,4.126498132628216,35.900001525878906,1.7762805921544966,10.840438771376261,1.49353394824765,8.376466233034218,1.4844274823714365,2.1381038026901464,30.952901684153712,3.2123787351217388,3.216842481760565,1.421751208085219,18.950000762939453,0.2788707681553601,0.8512918009740791,2.3409839562404966,16.312925338745117,158.8990986222301,16.364950250639417,322.5815127968221
2022-01-11,3.94009303650181,4.175695049304832,38.9900016784668,1.8573821108624946,11.331815928185902,1.470635914409729,7.760175626738749,1.4709257946193017,2.205099074782003,31.047927368851973,3.2075905147510566,3.265677022256597,1.4975703172346295,19.149999618530273,0.2787080982034763,0.8711665392364141,2.400317304221933,16.379703521728516,158.32709255670218,16.149358205607914,325.77693528119664
2022-01-12,3.9629977830697336,4.059809660105343,37.970001220703125,1.9646561074489943,11.757108291459733,1.5000636746314766,7.746888957051659,1.4817776204722584,2.2711300588436822,31.25028296940379,3.263660283753709,3.3569388021440747,1.460355429673914,18.540000915527344,0.30709706573235834,0.8613982939674941,2.416699166402932,16.04581069946289,155.3381402008301,16.34380041568635,321.898617616371
2022-01-13,3.765735943526698,3.956079677427226,35.58000183105469,1.9580975117066932,11.722927885609849,1.4923286677918226,7.596418048873095,1.5133956071767616,2.260722665737486,31.293279209364034,3.250848361022171,3.312241893186292,1.4745049916813409,18.520000457763672,0.3028607429678476,0.8511142730163259,2.3945144415544606,16.293846130371094,155.07134906337092,16.209993167257092,318.82026057045954
2022-01-14,3.7577280641213613,3.956079677427226,35.220001220703125,1.9645836961034824,11.65393617825169,1.4923286677918226,7.596418048873095,1.481002224500121,2.2906382806599237,31.293279209364034,3.250848361022171,3.312241893186292,1.4745049916813409,18.389999389648438,0.3028607429678476,0.8511142730163259,2.3945144415544606,16.446481704711914,155.07134906337092,16.209993167257092,318.4099032962127
2022-01-16,3.7577280641213613,3.8584880094135596,35.220001220703125,1.9645836961034824,11.65393617825169,1.4504414396629035,7.77483935283141,1.481002224500121,2.2906382806599237,31.1680932382911,3.181466286988533,3.3266344588189396,1.4595733552603185,18.389999389648438,0.2912728870067283,0.8505438713143023,2.3827467351263842,16.446481704711914,154.27862926849485,16.300815442947382,317.5279151048565
2022-01-17,3.6711539315131985,3.7995487040105584,35.220001220703125,1.942418865465246,11.629287211711187,1.442129506113908,7.608248269823785,1.4703966958447026,2.325792415522432,31.35717018302375,3.2200331882665947,3.3313190766038154,1.4763442531785558,18.389999389648438,0.30195374906452216,0.8730217337289106,2.378248942868345,16.446481704711914,153.70361251181848,15.922851203840414,316.5100127574619
2022-01-18,3.4685855537354566,3.8108558690129724,32.869998931884766,1.8756924936975934,11.387148878345672,1.387206753143973,7.702320248732862,1.5003766897129305,2.2659863067271857,30.94967521339992,3.1922331615713366,3.320671095828016,1.4110562963049027,17.549999237060547,0.29521566318100895,0.8639388528814591,2.3630785629074826,16.341543197631836,151.32875185208405,15.83326061365196,309.717595471496
2022-01-19,3.6610555234101714,3.8797453756177296,31.260000228881836,2.0011377419639325,12.267848130965637,1.370850364579926,7.57788996263428,1.526273383406189,2.3178641574776924,30.98478166841997,3.2219777523604005,3.3044708652490544,1.4537337886785904,17.540000915527344,0.29453737766076665,0.8590607286931499,2.3458279437916394,15.721460342407227,144.7795535205958,16.846066509860812,303.21413628218215
2022-01-20,3.911614691923646,3.888555536838151,31.600000381469727,2.1927280872575325,13.022826921667107,1.3709730200863006,6.956342111704837,1.5166076757485865,2.5361283444160394,31.091418825577815,3.1812550886654476,3.1388066218232704,1.4636557985220968,17.350000381469727,0.28709580658863904,0.8253773679115132,2.349010289794621,15.196778297424316,149.17886317225924,16.27300940235183,307.3310478235004
