,NTCO3.SA_px_USD,0973.HK_px_USD,LMND_px_USD,SOMA3.SA_px_USD,ARZZ3.SA_px_USD,MME.AX_px_USD,FREY.PA_px_USD,CONCHATORO.SN_px_USD,MOVI3.SA_px_USD,AEF.AX_px_USD,ABB.AX_px_USD,LFG.AX_px_USD,1112.HK_px_USD,VITL_px_USD,2897.TW_px_USD,KMD.NZ_px_USD,AMAL_px_USD,SML.NZ_px_USD,IBAB.BR_px_USD,BFT.WA_px_USD,Index,
1/26/22,4.011777078,3.788831046,28.55999947,2.45634517,14.28926642,1.274659108,33.18306112,1.490961591,2.717960901,6.023345284,2.855521467,3.179999948,1.438970348,15.78999996,0.285238559,0.802545813,15.50204945,2.097846275,16.12575733,145.1342299,301.0083662,
1/27/22,3.900181789,3.737555147,27.56999969,2.605814764,13.9644328,1.3190626,32.89664159,1.461788033,2.735868798,6.0801112,2.877315326,3.141595135,1.429443178,15.5,0.285238559,0.787505844,16.2175293,2.073780565,16.07345126,144.9036894,299.561005,
1/28/22,3.673880126,3.737555147,28.76000023,2.604635636,13.96162032,1.3190626,32.89664159,1.45471654,2.725424615,6.0801112,2.877315326,3.141595135,1.429443178,15.43999958,0.285238559,0.787505844,15.54974556,2.073780565,16.07345126,144.9036894,299.7754124,
1/30/22,3.673880126,3.779190253,28.76000023,2.604635636,13.96162032,1.342749333,32.91131294,1.45471654,2.725424615,6.288169764,2.951251058,3.123056256,1.47344362,15.43999958,0.285238559,0.812383377,15.54974556,2.062888696,16.45004009,144.7321208,300.3818674,
1/31/22,3.925380453,3.779190253,31.93000031,2.680184977,14.61297959,1.3994644,33.14728865,1.465467798,2.807461743,6.40310722,2.940288705,3.144854615,1.47344362,16.53000069,0.285238559,0.815968974,16.22706795,2.196970886,19.15057833,152.9951931,317.9101309,
2/1/22,3.997549632,3.779190253,34.11999893,2.668076245,14.59895358,1.426630192,33.27474388,1.467723629,2.817637091,6.86298706,3.124320203,3.156467056,1.47344362,16.70999908,0.285238559,0.823200456,16.04581261,2.289438091,19.66362552,153.7296382,322.3146738,
2/2/22,3.806949204,3.779190253,31.44000053,2.627147436,14.76797435,1.360120806,33.55130022,1.442317998,2.790477423,5.9336932,3.104778534,3.139549293,1.47344362,16.25,0.285238559,0.808516392,15.91225719,2.261351439,19.26861213,155.0767179,319.0796364,
2/3/22,3.72340228,3.829120509,28.92000008,2.560546486,14.88404711,1.371234609,33.95800358,1.394066628,2.73268888,6.110177324,3.120987093,3.137120299,1.453398021,15.38000011,0.285238559,0.815178523,15.78823662,2.233318381,19.12328498,157.4463299,318.26638,
2/4/22,3.616837153,3.829120509,28.77000046,2.544872052,14.63812178,1.371234609,33.95800358,1.377673296,2.65749592,6.110177324,3.120987093,3.137120299,1.453398021,15.31000042,0.285238559,0.815178523,16.27476501,2.233318381,19.12328498,157.4463299,318.0731579,
2/6/22,3.616837153,3.837828584,28.77000046,2.544872052,14.63812178,1.366187874,34.21569802,1.377673296,2.65749592,6.104156273,3.128782731,3.103632405,1.458817284,15.31000042,0.29620084,0.815178523,16.27476501,2.233318381,19.02044319,157.5164775,318.2864877,
