Date,AMAL,AMAL_MktCap,AMAL_SharesOut,BIRD,BIRD_MktCap,BIRD_SharesOut,BUD,BUD_MktCap,BUD_SharesOut,COCO,COCO_MktCap,COCO_SharesOut,COUR,COUR_MktCap,COUR_SharesOut,DANOY,DANOY_MktCap,DANOY_SharesOut,GPS,GPS_MktCap,GPS_SharesOut,GROV,GROV_MktCap,GROV_SharesOut,HAIN,HAIN_MktCap,HAIN_SharesOut,KO,KO_MktCap,KO_SharesOut,LMND,LMND_MktCap,LMND_SharesOut,OPY,OPY_MktCap,OPY_SharesOut,PG,PG_MktCap,PG_SharesOut,UL,UL_MktCap,UL_SharesOut,VITL,VITL_MktCap,VITL_SharesOut,VVPR,VVPR_MktCap,VVPR_SharesOut,WRBY,WRBY_MktCap,WRBY_SharesOut,ZVIA,ZVIA_MktCap,ZVIA_SharesOut
2022-07-08 00:00:00-04:00,19.920663833618164,606185800.4570007,30430000,4.920000076293945,752022011.6615295,152850000,54.801475524902344,108877927528.61023,1986770000,11.029999732971191,626503984.8327637,56800000,15.979999542236328,2508060928.1539917,156950000,10.505868911743164,26254376527.8244,2499020000,8.183769226074219,3034787142.1051025,370830000,34.45000076293945,1290152528.5720825,37450000,23.239999771118164,2087649179.4395447,89830000,59.8591423034668,258140156818.00842,4312460000,21.40999984741211,1496987189.3310547,69920000,33.53451156616211,345070124.0158081,10290000,138.65155029296875,326249870870.3613,2353020000,43.322383880615234,108263503765.33508,2499020000,9.270000457763672,385632019.04296875,41600000,14.5,47415000.0,3270000,11.630000114440918,1368153213.4628296,117640000,3.5199999809265137,177443199.03850555,50410000
2022-07-11 00:00:00-04:00,19.823963165283203,603243199.1195679,30430000,4.820000171661377,736737026.2384415,152850000,54.07105255126953,107426745077.28577,1986770000,11.739999771118164,666831986.9995117,56800000,15.4399995803833,2423307934.141159,156950000,10.322065353393555,25795047759.43756,2499020000,8.055036544799805,2987049201.9081116,370830000,29.75,1114137500.0,37450000,22.15999984741211,1990632786.2930298,89830000,59.66954040527344,257322506216.1255,4312460000,19.450000762939453,1359944053.3447266,69920000,33.836185455322266,348174348.3352661,10290000,139.62673950195312,328544510582.88574,2353020000,42.99367904663086,107442063811.11145,2499020000,8.869999885559082,368991995.2392578,41600000,13.699999809265137,44798999.376297,3270000,11.199999809265137,1317567977.5619507,117640000,3.490000009536743,175930900.48074722,50410000
2022-07-12 00:00:00-04:00,19.73693084716797,600594805.6793213,30430000,4.880000114440918,745908017.4922943,152850000,54.10066604614258,107485580280.49469,1986770000,11.800000190734863,670240010.8337402,56800000,15.460000038146973,2426447005.9871674,156950000,10.505868911743164,26254376527.8244,2499020000,7.6504435539245605,2837013983.101845,370830000,26.100000381469727,977445014.2860413,37450000,22.5,2021175000.0,89830000,59.413570404052734,256218645824.66125,4312460000,19.719999313354492,1378822351.989746,69920000,34.225440979003906,352179787.6739502,10290000,138.39337158203125,325642371199.9512,2353020000,43.219078063964844,108005340463.40942,2499020000,8.890000343322754,369824014.28222656,41600000,14.199999809265137,46433999.376297,3270000,11.579999923706055,1362271191.0247803,117640000,3.450000047683716,173914502.4037361,50410000
2022-07-13 00:00:00-04:00,19.44682502746582,591766885.5857849,30430000,5.019999980926514,767306997.0846176,152850000,54.36717224121094,108015066793.67065,1986770000,11.829999923706055,671943995.6665039,56800000,15.199999809265137,2385639970.064163,156950000,10.418805122375488,26036802376.918793,2499020000,7.632054805755615,2830194883.618355,370830000,26.950000762939453,1009277528.5720825,37450000,22.139999389648438,1988836145.1721191,89830000,59.13864517211914,255033041758.9569,4312460000,20.209999084472656,1413083135.9863281,69920000,34.0794677734375,350677723.3886719,10290000,139.30165100097656,327779570838.3179,2353020000,43.453853607177734,108592049241.4093,2499020000,8.890000343322754,369824014.28222656,41600000,13.600000381469727,44472001.247406006,3270000,11.579999923706055,1362271191.0247803,117640000,3.4700000286102295,174922701.44224167,50410000
2022-07-14 00:00:00-04:00,19.147045135498047,582644583.4732056,30430000,4.860000133514404,742851020.4076767,152850000,53.88351058959961,107054142334.09882,1986770000,11.279999732971191,640703984.8327637,56800000,15.260000228881836,2395057035.923004,156950000,10.264021873474121,25649995942.2493,2499020000,7.567687034606934,2806325383.043289,370830000,25.69499969482422,962277738.571167,37450000,21.56999969482422,1937633072.5860596,89830000,58.949031829833984,254215341804.88586,4312460000,19.030000686645508,1330577648.010254,69920000,33.80698776245117,347873904.07562256,10290000,138.8905792236328,326812310724.7925,2353020000,43.134552001953125,107794108143.9209,2499020000,8.609999656677246,358175985.71777344,41600000,13.0,42510000.0,3270000,11.779999732971191,1385799168.586731,117640000,3.140000104904175,158287405.28821945,50410000
2022-07-15 00:00:00-04:00,19.707918167114258,599711949.8252869,30430000,5.019999980926514,767306997.0846176,152850000,53.87364196777344,107034535652.31323,1986770000,11.710000038146973,665128002.166748,56800000,15.729999542236328,2468823428.1539917,156950000,10.399456977844238,25988450976.77231,2499020000,7.659639835357666,2840424240.1456833,370830000,24.600000381469727,921270014.2860413,37450000,22.049999237060547,1980751431.465149,89830000,59.25239944458008,255523602508.7738,4312460000,19.670000076293945,1375326405.3344727,69920000,34.51737976074219,355183837.7380371,10290000,138.69932556152344,326362287032.7759,2353020000,43.39751434326172,108451256294.0979,2499020000,8.949999809265137,372319992.0654297,41600000,12.699999809265137,41528999.376297,3270000,12.010000228881836,1412856426.9256592,117640000,3.1500000953674316,158791504.80747223,50410000
2022-07-18 00:00:00-04:00,20.00769805908203,608834251.9378662,30430000,5.079999923706055,776477988.3384705,152850000,53.90325164794922,107093363276.59607,1986770000,11.079999923706055,629343995.6665039,56800000,16.030000686645508,2515908607.7690125,156950000,10.418805122375488,26036802376.918793,2499020000,8.146987915039062,3021147528.5339355,370830000,22.5,842625000.0,37450000,22.059999465942383,1981649752.0256042,89830000,58.44657516479492,252048517535.1715,4312460000,18.739999771118164,1310300783.996582,69920000,34.34221649169922,353381407.69958496,10290000,137.01661682128906,322402839712.8296,2353020000,43.143943786621094,107817578401.64185,2499020000,8.829999923706055,367327996.8261719,41600000,12.5,40875000.0,3270000,12.0,1411680000.0,117640000,3.069999933242798,154758696.63476944,50410000
2022-07-19 00:00:00-04:00,20.742637634277344,631198463.2110596,30430000,5.340000152587891,816219023.3230591,152850000,55.45293426513672,110172226209.94568,1986770000,11.630000114440918,660584006.5002441,56800000,16.59000015258789,2603800523.9486694,156950000,10.747716903686523,26858759496.650696,2499020000,8.597555160522461,3188231380.176544,370830000,22.899999618530273,857604985.7139587,37450000,22.549999237060547,2025666431.465149,89830000,59.28084182739258,255646259146.9574,4312460000,19.709999084472656,1378123135.9863281,69920000,34.351951599121094,353481581.95495605,10290000,137.71453857421875,324045063555.9082,2353020000,44.42116928100586,111009390456.61926,2499020000,9.069999694824219,377311987.3046875,41600000,12.5,40875000.0,3270000,12.180000305175781,1432855235.900879,117640000,3.2200000286102295,162320201.44224167,50410000
2022-07-20 00:00:00-04:00,20.597579956054688,626784358.0627441,30430000,5.53000020980835,845260532.0692062,152850000,53.85390090942383,106995314709.81598,1986770000,11.789999961853027,669671997.833252,56800000,17.270000457763672,2710526571.8460083,156950000,10.554239273071289,26375255028.190613,2499020000,8.726288795471191,3235969674.024582,370830000,22.399999618530273,838879985.7139587,37450000,23.09000015258789,2074174713.7069702,89830000,58.30436706542969,251435250794.9829,4312460000,21.170000076293945,1480206405.3344727,69920000,34.54658126831055,355484321.2509155,10290000,135.33392333984375,318443428297.11914,2353020000,43.735599517822266,109296137907.0282,2499020000,10.529999732971191,438047988.89160156,41600000,13.300000190734863,43491000.623703,3270000,12.5,1470500000.0,117640000,3.5199999809265137,177443199.03850555,50410000
2022-07-21 00:00:00-04:00,20.24945640563965,616190958.4236145,30430000,5.409999847412109,826918476.6769409,152850000,53.705841064453125,106701153851.62354,1986770000,11.989999771118164,681031986.9995117,56800000,17.459999084472656,2740346856.3079834,156950000,10.592934608459473,26471955445.23239,2499020000,8.615945816040039,3195051186.9621277,370830000,22.450000762939453,840752528.5720825,37450000,23.290000915527344,2092140782.2418213,89830000,58.17163848876953,250862864117.27905,4312460000,20.760000228881836,1451539216.003418,69920000,35.08180618286133,360991785.62164307,10290000,135.4619140625,318744593027.34375,2353020000,43.82011795043945,109507351160.5072,2499020000,11.489999771118164,477983990.4785156,41600000,12.800000190734863,41856000.623703,3270000,12.1899995803833,1434031550.6362915,117640000,3.390000104904175,170889905.28821945,50410000
